ClubPlayer;Top1;Top2;Top3;Top4;Top5
Ben White;Mats Wieffer (75.28%);Ruben Aguilar (73.98%);Krépin Diatta (73.79%);Iván Balliu (73.42%);Lukas Kübler (72.3%)
Bukayo Saka;Mohamed Salah (89.43%);Nicolas Pépé (88.67%);Noni Madueke (87.1%);Omari Hutchinson (86.97%);Pedro Neto (85.83%)
Cristhian Mosquera;Leny Yoro (68.46%);Noahkai Banks (67.66%);Pau Navarro (65.85%);Aarón Anselmino (60.76%);Hauke Wahl (58.01%)
David Raya;Jean Butez (91.32%);Augusto Batalla (91.13%);Diogo Costa (90.86%);Mile Svilar (90.61%);Andreas Jungdal (90.21%)
Declan Rice;Joey Veerman (75.8%);Youri Tielemans (75.36%);Matt Grimes (74.57%);James Garner (74.07%);Hakan Çalhanoğlu (73.15%)
Eberechi Eze;Florian Wirtz (72.28%);Finn Azaz (72.25%);Julio Enciso (71.56%);Hakon Arnar Haraldsson (71.26%);Assan Ouédraogo (70.97%)
Gabriel Magalhães;Virgil van Dijk (68.45%);Joško Gvardiol (67.9%);Marc Guéhi (64.02%);Pedro Bigas (63.78%);Dávid Hancko (60.15%)
Gabriel Martinelli;Said El Mala (89.86%);Harvey Barnes (85.24%);Maximilian Beier (84.67%);Cody Gakpo (81.21%);Charly Nouck (79.83%)
Jurriën Timber;Josha Vagnoman (75.93%);Matheus Nunes (72.9%);Amir Murillo (72.52%);Nicolò Savona (72.45%);Hugo Rincón (72.09%)
Leandro Trossard;Elias Achouri (80.28%);Prince Amoako Junior (80.24%);Luis Díaz (79.69%);Gabriel Martinelli (79.35%);Abdessamad Ezzalzouli (79.34%)
Martin Ødegaard;Nicolò Barella (79.97%);Rayan Cherki (76.62%);Adrián Bernabé (75.7%);Phil Foden (73.13%);Bruno Fernandes (68.46%)
Martín Zubimendi;Pablo Rosario (79.49%);Leon Goretzka (79.35%);Aurélien Tchouaméni (78.06%);Atakan Karazor (77.38%);Enzo Barrenechea (74.72%)
Mikel Merino;Jens Odgaard (76.97%);Christoph Baumgartner (74.53%);Kristian Thorstvedt (72.66%);Josh Eccles (72.34%);Pablo Felipe (71.22%)
Myles Lewis-Skelly;Nicolás Tagliafico (72.27%);Jorrel Hato (71.29%);Riccardo Calafiori (70.54%);Rico Henry (67.52%);Junior Firpo (66.13%)
Noni Madueke;Bukayo Saka (87.15%);Pedro Neto (83.8%);Estêvão (83.36%);Roger Fernandes (82.75%);Omari Hutchinson (82.65%)
Piero Hincapié;Francisco Moura (78.41%);Luke Shaw (74.63%);Vitaliy Mykolenko (74.17%);Andrea Cambiaso (70.79%);Jacob Greaves (70.57%)
Riccardo Calafiori;Nicolás Tagliafico (75.33%);Carlos Augusto (73.46%);Hiroki Itō (72.72%);Reinildo Mandava (71.13%);Jacob Greaves (71.03%)
Viktor Gyökeres;Rumarn Burrell (67.2%);Ermedin Demirović (63.4%);Erling Haaland (62.33%);George Hirst (61.97%);Thierno Barry (61.22%)
William Saliba;Waldemar Anton (80.17%);Trevoh Chalobah (79.09%);Manuel Akanji (77.54%);Jan Bednarek (76.97%);Ibrahima Konaté (74.8%)
