ClubPlayer;Top1;Top2;Top3;Top4;Top5
Amadou Onana;Rodrigo Bentancur (72.98%);Eduardo Camavinga (69.5%);Aurélien Tchouaméni (69.3%);Martín Zubimendi (68.6%);Sander Berge (68.12%)
Boubacar Kamara;Pierre-Emile Højbjerg (68.09%);Pablo Rosario (67.24%);Mathis Amougou (66.46%);Moisés Caicedo (65.93%);Demir Ege Tıknaz (65.83%)
Douglas Luiz;Declan Rice (68.52%);Valentín Barco (68.52%);Luka Modrić (68.03%);Tyler Morton (67.94%);Pascal Groß (67.71%)
Emiliano Buendía;Carney Chukwuemeka (77.13%);Abdessamad Ezzalzouli (74.89%);Leandro Trossard (74.81%);Diego Gómez (74.08%);Xavi Simons (73.88%)
Emiliano Martínez;Ivan Provedel (94.58%);Alexander Nübel (93.38%);Noah Atubolu (92.59%);Oliver Baumann (91.92%);Mike Maignan (91.17%)
Ezri Konsa;Lucas Høgsberg (73.78%);Andrew Omobamidele (71.6%);Manuel Akanji (71.45%);Robin Østrøm (70.1%);Clinton Mata (69.58%)
Ian Maatsen;Adrien Truffert (80.63%);Samuel Dahl (80.55%);Sergio Gómez (80.25%);Lewis Hall (80.0%);Jesús Vázquez (79.94%)
Jadon Sancho;Ibrahim Mbaye (78.04%);Wilson Odobert (75.74%);Roony Bardghji (70.97%);Jonas Hofmann (70.48%);Taison (70.39%)
John McGinn;Viktor Tsygankov (77.4%);Ritsu Doan (73.72%);Bukayo Saka (73.62%);Matías Soulé (72.87%);Jarrod Bowen (72.45%)
Lamare Bogarde;Noussair Mazraoui (76.96%);Fredrik Sjøvold (73.59%);Anass Salah-Eddine (73.18%);Iván Balliu (72.92%);Woyo Coulibaly (72.89%)
Leon Bailey;Mohammed Kudus (83.85%);Omari Hutchinson (79.93%);Yankuba Minteh (78.18%);Ryoya Morishita (78.03%);David Neres (77.74%)
Lucas Digne;Josh Tymon (83.83%);Lorenzo Bernasconi (82.24%);Emerson Palmieri (79.55%);Leif Davis (79.31%);Miro Muheim (79.08%)
Marco Bizot;Federico Ravaglia (89.9%);Sergio Herrera (89.25%);Jean Butez (86.71%);Bahadır Han Güngördü (86.69%);Viktor Johansson (86.68%)
Matty Cash;Pedro Porro (78.82%);Trent Alexander-Arnold (76.32%);Przemysław Frankowski (70.54%);Ryan Fraser (70.53%);Jonathan Clauss (70.22%)
Morgan Rogers;Finn Azaz (81.74%);Yuito Suzuki (80.5%);Anis Mehmeti (80.39%);Georginio Rutter (79.84%);Marcus Tavernier (77.07%)
Ollie Watkins;Robert Lewandowski (60.5%);Donyell Malen (58.87%);Sinclair Armstrong (57.58%);Haji Wright (57.5%);Ermedin Demirović (57.31%)
Pau Torres;Toti Gomes (73.23%);Abdullah Al-Shanqiti (69.77%);Jon Pacheco (69.58%);Pablo Ramón (67.05%);Gonçalo Inácio (66.98%)
Tammy Abraham;Ivan Toney (52.85%);Patrick Mortensen (50.85%);George Hirst (50.43%);Rafiu Durosinmi (49.93%);Lukas Nmecha (49.4%)
Tyrone Mings;Joško Gvardiol (67.99%);Pascal Struijk (65.95%);Diogo Leite (63.01%);Anthony Jung (62.97%);Aymeric Laporte (62.71%)
Victor Lindelöf;Andrew Omobamidele (72.83%);Mamadou Sarr (72.67%);Alessio Romagnoli (72.24%);Benoît Badiashile (67.66%);Trevoh Chalobah (66.61%)
Youri Tielemans;Declan Rice (73.73%);Khéphren Thuram (66.54%);Pedri (64.5%);Aidan Morris (62.51%);Frenkie de Jong (62.14%)
