ClubPlayer;Top1;Top2;Top3;Top4;Top5
Ademola Lookman;Armand Laurienté (84.95%);Crysencio Summerville (82.1%);Marcus Rashford (81.45%);Bradley Barcola (81.19%);Kaoru Mitoma (81.13%)
Alex Baena;Gustavo Hamer (84.0%);Noa Lang (84.0%);Romano Schmid (80.29%);Nicola Zalewski (79.46%);Álex Berenguer (79.37%)
Alexander Sørloth;Vedat Muriqi (68.21%);Erling Haaland (62.65%);Benjamin Šeško (58.47%);Dženan Pejčinović (56.41%);Ante Budimir (56.15%)
Antoine Griezmann;André Almeida (82.86%);Julián Alvarez (82.48%);Rubén García (82.38%);Danel Sinani (81.11%);Kevin Castañeda (80.61%)
Clément Lenglet;David Carmo (63.19%);Jhon Lucumí (61.95%);Benoît Badiashile (61.71%);Nayef Aguerd (59.68%);Francisco Montero (59.33%)
Dávid Hancko;Valentín Gómez (70.84%);Alessandro Bastoni (70.81%);Gerard Martín (69.37%);Strahinja Pavlović (68.23%);Ramon Hendriks (68.16%)
Giuliano Simeone;Alexis Saelemaekers (79.54%);Tajon Buchanan (79.51%);Antony (79.07%);Ronald (78.86%);Lennart Karl (78.68%)
Jan Oblak;Alexander Nübel (94.07%);Philipp Köhn (93.98%);Augusto Batalla (93.88%);Mile Svilar (93.74%);Oliver Baumann (93.6%)
Johnny Cardoso;Sergi Altimira (80.93%);Aladji Bamba (70.89%);Marc Aguado (70.5%);Moisés Caicedo (69.53%);Nico González (69.25%)
José María Giménez;Maxence Lacroix (65.45%);Samson Baidoo (65.32%);Jacobo Ramón (61.72%);Willi Orbán (59.86%);Abdullah Al-Hafith (59.18%)
Juan Musso;Giorgi Mamardashvili (90.92%);Simon Mignolet (90.71%);Guilherme Fernandes (90.03%);Sebastián Jurado (89.6%);Vanja Milinković-Savić (87.62%)
Julián Alvarez;Giacomo Raspadori (84.57%);Antoine Griezmann (82.34%);Aral Şimşir (81.93%);Amine Gouiri (80.3%);Younes Taha (78.57%)
Koke;Vitinha (84.52%);Sergi Altimira (84.46%);Aleksandar Pavlović (82.42%);Leon Goretzka (80.26%);Aidan Morris (80.12%)
Marc Pubill;Ibrahima Konaté (73.11%);Wesley Fofana (69.67%);Han-Beom Lee (67.48%);Leny Yoro (66.79%);Fikayo Tomori (65.33%)
Marcos Llorente;Jordan Teze (76.14%);Federico Valverde (72.89%);Mattéo Guendouzi (71.42%);Reece James (68.99%);Bernardo Silva (66.29%)
Matteo Ruggeri;Samuel Dahl (82.31%);Álex Valle (82.06%);Sergio Gómez (81.7%);Adrien Truffert (81.66%);Maximilian Mittelstädt (81.29%)
Nahuel Molina;Matheus Nunes (80.39%);Ridle Baku (78.75%);Mats Wieffer (76.58%);Jules Koundé (76.42%);Andoni Gorosabel (75.94%)
Nicolás González;Amine Adli (74.53%);Patrick Dorgu (73.48%);Abdessamad Ezzalzouli (72.92%);Ilyas Chaira (70.33%);Gabriel Martínez (70.31%)
Pablo Barrios;Jean-Baptiste Gorby (73.17%);Aidan Morris (72.19%);Federico Valverde (70.25%);Warren Zaïre-Emery (68.92%);Ryan Gravenberch (68.92%)
Robin Le Normand;Arnau Comas (63.05%);Ibrahima Konaté (62.62%);Diego Llorente (58.97%);Joe Rodon (58.67%);Nathan Wood (57.93%)
Rodrigo Mendoza;Noah Nartey (65.29%);Fer López (63.61%);Albert Guðmundsson (62.95%);Florian Wirtz (61.81%);Pablo Marín (60.84%)
Thiago Almada;Florian Wirtz (75.68%);Enzo Fernández (72.54%);Petar Sučić (71.33%);Fermín López (70.96%);Giovani Lo Celso (70.14%)
