ClubPlayer;Top1;Top2;Top3;Top4;Top5
Alejandro Balde;Samuel Dahl (83.89%);Jay DaSilva (82.64%);Sergio Carreira (77.55%);Emerson Palmieri (77.42%);Álvaro Carreras (77.36%)
Andreas Christensen;Nayef Aguerd (69.95%);Jonathan Tah (69.87%);Manuel Akanji (67.86%);Edmond Tapsoba (66.42%);Kim Min-jae (65.13%)
Dani Olmo;Florian Wirtz (80.47%);Enzo Fernández (80.4%);Serge Gnabry (76.21%);Hayden Hackney (76.17%);Tijjani Reijnders (75.98%)
Eric García;Dayot Upamecano (78.62%);Manuel Akanji (73.41%);Jonathan Tah (68.23%);Yann Bisseck (68.2%);Marc Guéhi (68.1%)
Fermín López;Serge Gnabry (84.09%);Senny Mayulu (79.21%);João Félix (75.72%);Rayan Cherki (75.04%);Phil Foden (74.32%)
Ferran Torres;Lautaro Martínez (62.66%);Benjamin Šeško (61.91%);Erling Haaland (58.91%);Gonçalo Ramos (58.45%);Kasper Høgh (56.2%)
Frenkie de Jong;Leon Goretzka (82.74%);Aleksandar Pavlović (79.57%);Koke (77.69%);Rodri (76.94%);Vitinha (76.66%)
Gerard Martín;Jakub Kiwior (80.36%);Marcos Alonso (74.58%);Ramon Hendriks (74.35%);Pedro Bigas (72.97%);Eric Kahl (71.55%)
Joan García;Jean Butez (93.58%);Matvey Safonov (91.8%);Lukáš Horníček (91.65%);Diogo Costa (89.98%);Viktor Johansson (89.9%)
João Cancelo;Nuno Mendes (81.11%);Konrad Laimer (76.78%);Óscar Mingueza (72.98%);Rico Lewis (72.4%);Alejandro Grimaldo (71.72%)
Jules Koundé;Matheus Nunes (88.5%);Achraf Hakimi (82.92%);Malo Gusto (82.58%);Konrad Laimer (80.58%);Ridle Baku (80.13%)
Lamine Yamal;Lennart Karl (87.16%);Yan Diomande (85.73%);Nicolas Pépé (85.52%);Charles De Ketelaere (83.64%);Matías Soulé (83.62%)
Marc Bernal;Moisés Caicedo (67.74%);Ryan Gravenberch (66.12%);Aleksandar Pavlović (64.13%);Leon Goretzka (62.11%);Justin Janssen (61.78%)
Marc Casadó;Jean-Baptiste Gorby (76.56%);Aidan Morris (76.43%);Aleksandar Pavlović (75.63%);Exequiel Palacios (74.34%);Moisés Caicedo (74.24%)
Marcus Rashford;Andreas Schjelderup (82.71%);Ademola Lookman (81.65%);Armand Laurienté (81.52%);Khvicha Kvaratskhelia (80.24%);Noa Lang (78.45%)
Pau Cubarsí;Jan Bednarek (77.65%);Willian Pacho (77.35%);Jonathan Tah (74.56%);Kim Min-jae (74.39%);Manuel Akanji (73.76%)
Pedri;Vitinha (78.54%);Rodri (78.23%);Aidan Morris (76.09%);Aleksandar Pavlović (74.93%);Koke (71.02%)
Raphinha;Ricardo Horta (82.86%);Khvicha Kvaratskhelia (80.88%);Ludovic Blas (79.76%);Désiré Doué (79.51%);Iago Aspas (79.46%)
Robert Lewandowski;Troy Parrott (69.34%);Cristiano Ronaldo (68.55%);Serhou Guirassy (65.85%);Rômulo (62.94%);Luis Javier Suárez (61.26%)
Ronald Araújo;Jonathan Tah (72.17%);Waldemar Anton (69.35%);Trevoh Chalobah (68.45%);Robert Andrich (68.11%);Ibrahima Konaté (68.0%)
Roony Bardghji;Ibrahim Mbaye (82.39%);Lennart Karl (82.21%);Bukayo Saka (82.11%);Omari Hutchinson (80.15%);Elies Mahmoud (79.66%)
Wojciech Szczęsny;Kevin Trapp (91.45%);Matvey Safonov (91.29%);Lukáš Horníček (90.65%);Péter Gulácsi (90.05%);Yehvann Diouf (89.94%)
