ClubPlayer;Top1;Top2;Top3;Top4;Top5
Carney Chukwuemeka;Jens Petter Hauge (76.71%);Malik Tillman (76.54%);Emiliano Buendía (75.76%);Yan Diomande (75.49%);Yann Gboho (75.03%)
Daniel Svensson;Jonas Föhrenbach (80.2%);Miloš Kerkez (74.79%);Derry Murkin (74.0%);Arsène Kouassi (72.26%);Carlos Romero (71.58%)
Emre Can;Viktor Orn Margeirsson (66.49%);Nikolai Soyset Hopland (63.73%);Stefan Velkov (63.55%);Giorgio Scalvini (63.46%);Sam Beukema (62.88%)
Felix Nmecha;Khéphren Thuram (75.98%);Manu Koné (69.76%);Piotr Zieliński (67.63%);Aurélien Tchouaméni (67.12%);Koke (65.29%)
Fábio Silva;Jérémy Doku (69.42%);Aral Şimşir (65.7%);Sheraldo Becker (65.37%);Ange Bonny (64.6%);Lautaro Martínez (62.51%)
Gregor Kobel;Philipp Köhn (74.14%);Jan Oblak (73.78%);Diogo Costa (73.43%);Alisson (73.09%);Alexander Nübel (73.04%)
Jobe Bellingham;Jhon Solís (64.26%);Aurélien Tchouaméni (63.94%);Ryan Gravenberch (63.64%);Moisés Caicedo (62.9%);Kobbie Mainoo (62.18%)
Julian Brandt;Luis Díaz (81.27%);Mika Godts (79.6%);Yan Diomande (79.13%);Martin Terrier (78.98%);Cole Palmer (78.87%)
Julian Ryerson;Jonathan Clauss (81.71%);Josan (78.69%);Vladimír Coufal (78.34%);Joe Ward (77.37%);Franck Honorat (74.61%)
Karim Adeyemi;Estêvão (84.8%);William Gomes (82.25%);André Luiz (81.6%);Antonio Vergara (81.57%);Largie Ramazani (80.82%)
Marcel Sabitzer;Lucas Torreira (85.92%);Han-Noah Massengo (81.87%);Josh Brownhill (81.5%);Marko Stamenić (80.93%);Julien Ponceau (79.75%)
Maximilian Beier;Gabriel Martinelli (84.3%);Harvey Barnes (82.8%);Ismaïla Sarr (82.66%);Iñaki Williams (81.51%);Said El Mala (81.11%)
Nico Schlotterbeck;Marc Guéhi (74.09%);Edmond Tapsoba (71.81%);Oumar Solet (71.16%);Alessandro Bastoni (69.2%);Marcos Alonso (69.03%)
Niklas Süle;Fikayo Tomori (68.1%);Nathan Ngoy (67.51%);Dayot Upamecano (66.59%);Raúl Asencio (65.53%);Loïc Badé (64.92%)
Ramy Bensebaini;Joško Gvardiol (72.85%);Strahinja Pavlović (72.14%);Alessandro Bastoni (68.82%);Edmond Tapsoba (68.56%);Marcos Alonso (67.78%)
Serhou Guirassy;Robert Lewandowski (67.42%);Paul Onuachu (63.28%);Sandro Lima (61.0%);Cristiano Ronaldo (59.41%);Patrik Schick (59.33%)
Waldemar Anton;William Saliba (80.24%);Manuel Akanji (76.86%);Dayot Upamecano (76.35%);Ibrahima Konaté (76.3%);Trevoh Chalobah (75.72%)
Yan Couto;Christopher Baah (80.59%);Mohammed Abu Al-Shamat (80.53%);Michał Skóraś (76.87%);Gil Dias (75.92%);Carlos Vicente (75.88%)
