ClubPlayer;Top1;Top2;Top3;Top4;Top5
Aaron Hickey;Jonny Otto (71.19%);Jens Stryger Larsen (69.42%);Reinildo Mandava (69.02%);Aihen Muñoz (68.59%);Teo Quintero (68.31%)
Caoimhin Kelleher;Vanja Milinković-Savić (92.58%);Guilherme Fernandes (91.99%);Marco Carnesecchi (91.8%);Guillermo Vallejo (89.76%);Rome Jayden Owusu-Oduro (89.43%)
Dango Ouattara;Iñaki Williams (83.47%);Yankuba Minteh (77.69%);Jorge de Frutos (77.46%);Tyrhys Dolan (77.08%);Mads Agger (76.23%)
Igor Thiago;Jean Philippe Mateta (63.79%);Haris Tabaković (63.4%);Dominic Solanke (61.53%);Beto (60.89%);João Pedro (60.59%)
Jordan Henderson;Matteo Prati (66.27%);Granit Xhaka (66.04%);Maximilian Arnold (62.86%);Barry Bannan (62.23%);Antoine Makoumbou (61.61%)
Keane Lewis-Potter;Harvey Barnes (63.12%);Nicolò Cambiaghi (60.58%);Simon Adingra (60.55%);Leandro Trossard (59.57%);Gonçalo Guedes (59.09%)
Kevin Schade;Ephron Mason-Clark (75.88%);Alexander Lyng (75.35%);Adrian Benedyczak (74.74%);Remy Labeau Lascary (74.43%);Pere Milla (74.4%)
Kristoffer Ajer;Nicolò Bertola (71.12%);James Justin (68.02%);Jordan Storey (66.33%);Nicolás Valentini (63.08%);James Hill (63.05%)
Mathias Jensen;Edu Expósito (72.03%);Jari Vandeputte (70.8%);Pablo Torre (68.4%);Bruno Fernandes (66.68%);Bilal El Khannouss (66.24%)
Michael Kayode;Pablo Maffeo (74.99%);Philipp Treu (70.73%);Joe Scally (70.6%);José Ángel Carmona (69.46%);Jeremy Toljan (68.73%)
Mikkel Damsgaard;Jari Vandeputte (79.21%);Anis Mehmeti (74.22%);Pablo Torre (72.33%);Bilal El Khannouss (71.74%);Wouter Burger (71.2%)
Nathan Collins;Daniel Ballard (61.27%);Brendan Chardonnet (58.16%);Stefan Bell (56.29%);Marcos Senesi (55.92%);Han-Beom Lee (55.62%)
Rico Henry;Josep Chavarría (77.58%);Ryan Sessegnon (74.67%);Jeanuël Belocian (72.11%);Jordy Makengo (71.57%);Reinildo Mandava (71.04%)
Sepp van den Berg;Matthijs de Ligt (66.73%);Terry Yegbe (62.62%);Rasmus Nicolaisen (61.86%);Pascal Struijk (60.97%);Duje Ćaleta-Car (59.88%)
Vitaly Janelt;Jordan Holsgrove (66.16%);Granit Xhaka (62.65%);Maximilian Arnold (62.41%);James Garner (62.23%);Matt Grimes (62.21%)
Yehor Yarmoliuk;Yannick Engelhardt (68.07%);Charles Vanhoutte (67.69%);Leon Avdullahu (62.63%);Jon Gorrotxategi (59.8%);Senne Lynen (58.98%)
