ClubPlayer;Top1;Top2;Top3;Top4;Top5
Bart Verbruggen;Álex Remiro (91.42%);Bernd Leno (91.31%);Leo Román (91.01%);Mike Penders (90.83%);Elías Ólafsson (90.43%)
Carlos Baleba;Warren Bondo (63.03%);Alpha Touré (62.55%);Rudy Matondo (60.09%);Nicolai Remberg (60.06%);Jessy Deminguet (60.04%)
Danny Welbeck;Gonzalo García (61.88%);Antonio Sanabria (59.75%);Hwang Hee-chan (57.32%);Borja Mayoral (55.31%);Kikas (54.01%)
Diego Gómez;Malik Tillman (75.67%);Emiliano Buendía (72.99%);Jude Bellingham (70.16%);Nicolás González (69.75%);Conor Gallagher (69.6%)
Ferdi Kadıoğlu;Neco Williams (74.23%);Josh Doig (73.07%);Yuri Berchiche (71.61%);Luke Shaw (68.44%);Matteo Ruggeri (67.1%)
Georginio Rutter;Morgan Rogers (79.39%);Jens Odgaard (75.89%);Finn Azaz (74.83%);Callum Lang (73.67%);Yuito Suzuki (73.19%)
Jack Hinshelwood;Abdoulaye Doucouré (56.33%);Arno Verschueren (55.57%);Sofiane Bendebka (55.52%);Ryan Yates (54.38%);Conor Coady (52.8%)
James Milner;Markus Solbakken (68.04%);Marten de Roon (61.25%);Danilo Cataldi (60.54%);Kirian Rodríguez (60.48%);Darko Hrka (59.07%)
Jan Paul van Hecke;Matthias Ginter (69.43%);Taylor Harwood-Bellis (69.36%);Joachim Andersen (68.62%);Waldemar Anton (67.03%);António Silva (66.68%)
Joël Veltman;Bebeto (84.8%);Lukas Kübler (79.26%);Nicolò Savona (76.67%);Jeremy Toljan (75.66%);Santiago Mouriño (71.47%)
Kaoru Mitoma;Ademola Lookman (81.44%);Amine Sbai (79.96%);Arthur Atta (79.92%);Bradley Barcola (79.67%);Crysencio Summerville (79.61%)
Lewis Dunk;Alessio Romagnoli (65.43%);Benoît Badiashile (63.0%);Andrew Omobamidele (62.6%);Edmond Tapsoba (62.51%);Denis Vavro (61.98%)
Mats Wieffer;Santiago Mouriño (84.0%);Kenny Tete (81.64%);Lukas Kübler (80.61%);Jon Aramburu (79.42%);José Ángel Carmona (79.21%)
Matt O'Riley;Bernardo Silva (65.77%);Mamadou Coulibaly (63.85%);Martin Ødegaard (62.82%);Bilal Nadir (61.05%);Marcos Llorente (59.34%)
Maxim De Cuyper;Romain Perraud (73.02%);David Raum (72.68%);Hugo Bueno (72.5%);Oso (72.43%);Josh Tymon (71.15%)
Pascal Groß;Declan Rice (69.02%);Reece James (67.8%);Fredrik Aursnes (67.75%);Joshua Kimmich (67.52%);Hakan Çalhanoğlu (65.78%)
Yankuba Minteh;Omari Hutchinson (85.53%);Femi Azeez (84.27%);Jarrod Bowen (83.39%);Younes Namli (81.6%);Noni Madueke (81.56%)
Yasin Ayari;Mateus Fernandes (65.04%);Éderson (60.54%);Ao Tanaka (58.06%);Alexis Mac Allister (57.79%);Scott McTominay (56.67%)
