ClubPlayer;Top1;Top2;Top3;Top4;Top5
Alejandro Garnacho;Callum Hudson Odoi (82.56%);Bradley Barcola (79.93%);Jamie Gittens (79.92%);Antonio Nusa (79.85%);Malick Fofana (79.74%)
Andrey Santos;Axel Witsel (76.53%);Aurélien Tchouaméni (74.31%);Leon Goretzka (73.69%);Leon Avdullahu (70.9%);Moisés Caicedo (70.84%)
Benoît Badiashile;Alessio Romagnoli (73.3%);Nayef Aguerd (73.26%);Lucas Beraldo (71.89%);Andrew Omobamidele (71.81%);Mamadou Sarr (70.9%)
Cole Palmer;Yan Diomande (79.47%);Julian Brandt (78.29%);Lennart Karl (77.07%);Maghnes Akliouche (77.0%);Ilan Kebbal (76.65%)
Enzo Fernández;Kevin De Bruyne (80.07%);Dani Olmo (80.01%);Florian Wirtz (78.07%);Bruno Guimarães (76.35%);Bruno Fernandes (74.89%)
Estêvão;Nicolas Pépé (85.04%);Karim Adeyemi (84.74%);Noni Madueke (82.98%);Mohammed Kudus (80.78%);Roger Fernandes (80.35%)
Jamie Gittens;Bryan Zaragoza (82.07%);Prince Amoako Junior (80.47%);Alejandro Garnacho (79.82%);Bazoumana Touré (78.1%);Arber Hoxha (78.1%)
Jorrel Hato;Stephen Mfuni (78.49%);Destiny Udogie (75.12%);Jeanuël Belocian (73.86%);Owen Wijndal (73.53%);Josep Chavarría (73.44%)
Josh Acheampong;Jarell Quansah (60.33%);Christian Mawissa (58.55%);Stephen Acquah (57.48%);Nnamdi Collins (56.87%);Aaron Bouwman (56.08%)
João Pedro;Mikel Oyarzabal (68.3%);Pau Víctor (66.18%);Lautaro Martínez (65.72%);Igor Thiago (63.06%);André Silva (62.11%)
Liam Delap;Vivaldo (55.12%);Viktor Gyökeres (53.18%);Ollie Watkins (52.14%);Chris Wood (51.9%);Samuel Essende (50.94%)
Malo Gusto;Matheus Nunes (82.83%);Achraf Hakimi (82.31%);Jules Koundé (81.99%);Konrad Laimer (80.36%);Timothy Weah (79.97%)
Mamadou Sarr;Andrew Omobamidele (79.83%);Victor Lindelöf (72.82%);Benoît Badiashile (70.52%);Trevoh Chalobah (69.57%);Paulo Oliveira (69.39%)
Marc Cucurella;Victor Gómez (80.5%);Carlos Neva (76.61%);Neto Borges (76.42%);Iván Fresneda (76.15%);Sead Kolašinac (75.03%)
Moisés Caicedo;Aurélien Tchouaméni (81.77%);Sergi Altimira (80.84%);Valentin Rongier (78.78%);Leon Goretzka (78.04%);Koke (77.44%)
Pedro Neto;Bukayo Saka (85.58%);Anis Hadj Moussa (84.83%);Mohamed Salah (84.48%);Noni Madueke (83.44%);Omari Hutchinson (83.39%)
Reece James;Federico Valverde (74.94%);Sandro Tonali (71.57%);Tyler Morton (70.33%);Dominik Szoboszlai (69.88%);Pascal Groß (69.4%)
Robert Sánchez;Nicola Leali (91.63%);Vítězslav Jaroš (90.42%);Oliver Baumann (90.02%);Łukasz Skorupski (89.79%);Mile Svilar (89.78%)
Tosin Adarabioyo;Benoît Badiashile (67.75%);Scott McKenna (65.66%);Andrew Omobamidele (65.23%);Nayef Aguerd (64.87%);Nathan Wood (63.15%)
Trevoh Chalobah;William Saliba (80.06%);Jonathan Tah (76.98%);Carl Starfelt (76.97%);Waldemar Anton (76.77%);Lucas Beraldo (75.07%)
Wesley Fofana;Dayot Upamecano (72.13%);William Saliba (72.11%);Marc Pubill (71.63%);Abdukodir Khusanov (70.92%);David Affengruber (70.31%)
