ClubPlayer;Top1;Top2;Top3;Top4;Top5
Beto;Tolu Arokodare (76.08%);Thierno Barry (73.11%);Dominic Calvert-Lewin (69.98%);Sam Smith (67.69%);Haris Tabaković (65.65%)
Carlos Alcaraz;Morgan Rogers (63.54%);Joe Willock (63.08%);Youssouf Fofana (62.55%);Iván Romero (61.02%);Aimar Oroz (61.01%)
Dwight McNeil;Roger Brugué (72.82%);Nicolas-Gerrit Kühn (70.53%);Víctor García (68.32%);Matteo Cancellieri (68.08%);Gustav Isaksen (67.05%)
Harrison Armstrong;Adam Randell (59.06%);Matt Crooks (58.56%);Kaishu Sano (57.33%);Pedro Ferreira (56.48%);Oliver Arblaster (56.02%)
Idrissa Gana Gueye;Aurélien Tchouaméni (64.37%);Valentin Rongier (62.63%);Danilo Cataldi (62.61%);Marc Casadó (62.31%);Denis Huseinbašić (61.84%)
Iliman Ndiaye;Yan Diomande (81.81%);Ibrahim Mbaye (75.32%);Brenden Aaronson (75.2%);Robert Navarro (74.41%);Giuliano Simeone (73.98%)
Jack Grealish;Osame Sahraoui (78.25%);Leandro Trossard (78.21%);Elias Achouri (77.19%);Yann Gboho (76.99%);Nicolò Cambiaghi (75.91%)
Jake O'Brien;Danilo Veiga (79.53%);Aaron Wan-Bissaka (75.52%);James Abankwah (75.37%);Sam Long (74.89%);Darnell Furlong (74.74%)
James Garner;Declan Rice (73.83%);Nicolas Madsen (69.26%);Luis Milla (67.6%);Lamine Camara (65.23%);Joey Veerman (64.16%)
James Tarkowski;Daniel Ballard (70.21%);Malick Thiaw (64.41%);Jordan Storey (62.11%);Michał Helik (61.12%);Lloyd Jones (60.53%)
Jarrad Branthwaite;Mouctar Diakhaby (67.38%);Kike Salas (63.63%);Strahinja Pavlović (58.08%);Nicolás Otamendi (57.51%);Leandro Cabrera (56.65%)
Jordan Pickford;Oliver Baumann (93.85%);Daniel Iversen (93.44%);Alberto Paleari (93.16%);Marco Carnesecchi (92.94%);Noah Atubolu (92.5%)
Kiernan Dewsbury-Hall;Marcus Tavernier (78.15%);Jack Rudoni (75.95%);Jakub Kamiński (72.52%);Scott Twine (71.86%);Samu (71.26%)
Michael Keane;Jaka Bijol (59.56%);Leandro Cabrera (58.62%);Ciaron Brown (57.63%);Omar Alderete (57.07%);Liam Lindsay (54.94%)
Thierno Barry;Beto (73.61%);Colby Bishop (70.85%);Tolu Arokodare (69.59%);Sam Smith (65.19%);Andri Guðjohnsen (65.0%)
Tim Iroegbunam;Kamiel Van de Perre (63.16%);Abu Francis (61.61%);Ilaix Moriba (60.12%);Haris Belkebla (60.03%);Soungoutou Magassa (59.72%)
Vitaliy Mykolenko;Adrien Truffert (81.91%);Rhys Norrington-Davies (79.33%);Marc Bola (78.38%);Gabriel Gudmundsson (78.33%);Eric Bocat (77.42%)
