ClubPlayer;Top1;Top2;Top3;Top4;Top5
Alessandro Bastoni;Luca Ranieri (78.08%);Pedro Bigas (75.38%);Levent Mercan (72.1%);Dávid Hancko (71.95%);Eric Kahl (68.93%)
Ange Bonny;Jérémy Doku (70.68%);Omar Marmoush (62.35%);Fábio Silva (60.96%);Hugo Ekitiké (59.42%);Vinicius Júnior (59.22%)
Carlos Augusto;Hiroki Itō (76.05%);Jacob Greaves (76.0%);Riccardo Calafiori (73.19%);Álvaro Carreras (72.66%);Luke Shaw (71.79%)
Davide Frattesi;Oihan Sancet (68.46%);Gabriele Piccinini (66.06%);Giovanni Fabbian (65.45%);Callum Lang (62.36%);Joshua King (61.28%)
Denzel Dumfries;Chiedozie Ogbene (71.8%);Jones El-Abdellaoui (70.45%);Ronald (70.2%);Tajon Buchanan (69.64%);Daniel Muñoz (68.87%)
Federico Dimarco;David Raum (80.59%);Gustavo Hamer (79.77%);Gift Links (79.15%);Souffian El Karouani (78.97%);Arda Güler (78.92%)
Francesco Acerbi;Alessio Romagnoli (66.63%);Jonathan Tah (63.09%);Trevoh Chalobah (63.03%);Andrew Omobamidele (62.35%);Benoît Badiashile (61.96%)
Francesco Pio Esposito;Nikola Krstović (54.96%);Gonçalo Ramos (54.46%);Hugo Ekitiké (54.17%);Anastasios Douvikas (52.74%);Fábio Silva (51.74%)
Hakan Çalhanoğlu;Vitinha (77.34%);Imrân Louza (76.37%);Bruno Fernandes (73.6%);Declan Rice (73.16%);Joshua Kimmich (72.47%)
Henrikh Mkhitaryan;Dani Olmo (72.23%);Seko Fofana (71.53%);Adrien Rabiot (70.06%);Tom Bischof (68.59%);Nicklas Røjkjær (67.98%)
Lautaro Martínez;Gonçalo Ramos (70.8%);Vinicius Júnior (70.28%);Rafael Leão (70.22%);Kylian Mbappé (68.0%);Hugo Ekitiké (67.92%)
Luís Henrique;Mërgim Vojvoda (82.3%);Achraf Hakimi (77.46%);Matheus Nunes (74.84%);Alexis Saelemaekers (71.92%);Amad Diallo (71.75%)
Manuel Akanji;Dayot Upamecano (81.9%);William Saliba (78.12%);Waldemar Anton (77.38%);Jan Bednarek (76.38%);Jonathan Tah (76.0%)
Marcus Thuram;Gianluca Scamacca (81.57%);Joaquin Panichelli (78.5%);Pierre-Emerick Aubameyang (76.64%);Wout Weghorst (76.11%);Roger Martínez (75.96%)
Nicolò Barella;Martin Ødegaard (79.67%);Rayan Cherki (74.89%);Phil Foden (73.85%);Adrián Bernabé (73.4%);Dominik Szoboszlai (72.47%)
Petar Sučić;Thiago Almada (69.58%);Warren Zaïre-Emery (66.46%);Florian Wirtz (65.36%);Senny Mayulu (65.2%);Noah Nartey (64.71%)
Piotr Zieliński;Aleksandar Pavlović (84.41%);Stanislav Lobotka (77.28%);Vitinha (77.17%);Koke (76.64%);Luka Modrić (75.31%)
Stefan de Vrij;Jonathan Tah (67.33%);Lucas Beraldo (62.95%);Éder Militão (62.27%);Alessio Romagnoli (62.22%);Samson Baidoo (62.16%)
Yann Bisseck;Jacobo Ramón (77.54%);Giorgio Scalvini (75.53%);Giovanni Di Lorenzo (71.99%);Éder Militão (71.2%);Jarell Quansah (70.79%)
Yann Sommer;Koen Casteels (91.57%);Marek Rodák (89.48%);Marwin Hitz (89.37%);Gerónimo Rulli (89.07%);Luca Zidane (87.9%)
