ClubPlayer;Top1;Top2;Top3;Top4;Top5
Alexander Isak;Kasper Dolberg (73.59%);Benito Raman (72.71%);Youssef En-Nesyri (71.87%);Stuart Armstrong (70.98%);Pierre-Emerick Aubameyang (70.34%)
Alexis Mac Allister;Éderson (67.43%);Khéphren Thuram (67.23%);Scott McTominay (66.82%);Enzo Fernández (66.32%);Tom Bischof (65.39%)
Alisson;Diogo Costa (95.47%);Péter Gulácsi (95.03%);Jesper Hansen (94.72%);Mio Backhaus (94.71%);Lucas Lund (93.91%)
Andy Robertson;Emerson Palmieri (86.85%);Calvin Verdonk (81.04%);Ryan Manning (80.37%);Sergio Gómez (80.24%);Leonardo Lelo (79.62%)
Cody Gakpo;Yéremy Pino (86.29%);Harvey Barnes (84.95%);Gabriel Martinelli (81.06%);Ademola Lookman (79.22%);Said El Mala (79.01%)
Conor Bradley;Thierry Correia (79.37%);Álex Jiménez (74.87%);Guéla Doué (74.62%);Mats Wieffer (72.5%);Ridle Baku (71.69%)
Curtis Jones;Pierre-Emile Højbjerg (73.01%);Aidan Morris (71.5%);Aleksandar Pavlović (71.05%);Nicklas Røjkjær (69.96%);Rodri (68.48%)
Dominik Szoboszlai;Nicolò Barella (71.69%);Cristian Cásseres Jr. (70.82%);Adrián Bernabé (69.03%);Reece James (68.29%);Phil Foden (67.52%)
Florian Wirtz;Dani Olmo (81.03%);Hayden Hackney (79.49%);Enzo Fernández (79.11%);Rayan Cherki (79.11%);Bilal El Khannouss (78.03%)
Giorgi Mamardashvili;Guilherme Fernandes (92.09%);Vanja Milinković-Savić (91.81%);Mateusz Kochalski (91.49%);Juan Musso (91.28%);Caoimhin Kelleher (89.33%)
Hugo Ekitiké;Vinicius Júnior (67.22%);Lautaro Martínez (65.04%);Jérémy Doku (64.56%);Kylian Mbappé (61.49%);Rafael Leão (60.43%)
Ibrahima Konaté;Willi Orbán (75.51%);Waldemar Anton (74.57%);William Saliba (73.05%);Marc Pubill (72.72%);Gustaf Lagerbielke (69.12%)
Jeremie Frimpong;Tiago Santos (79.24%);Dodô (77.55%);Andrei Rațiu (75.76%);Raoul Bellanova (74.04%);Thierry Correia (73.87%)
Joe Gomez;Tristan Crama (71.07%);Danny da Costa (68.01%);James Justin (67.34%);Zeki Çelik (65.81%);César Azpilicueta (65.28%)
Miloš Kerkez;Álvaro Carreras (84.02%);Josep Chavarría (78.56%);Adrien Truffert (76.19%);Manuel Sánchez (75.69%);Daniel Svensson (75.2%)
Mohamed Salah;Bukayo Saka (88.97%);Nicolas Pépé (88.57%);Florian Thauvin (86.08%);Pedro Neto (84.09%);Jarrod Bowen (82.7%)
Ryan Gravenberch;Moisés Caicedo (75.19%);Federico Valverde (74.4%);Aurélien Tchouaméni (73.81%);Martín Zubimendi (72.81%);Leon Goretzka (70.09%)
Virgil van Dijk;Edmond Tapsoba (79.02%);Marc Guéhi (74.29%);Jeff Chabot (72.62%);Dean Huijsen (72.24%);Jonathan Tah (71.58%)
