ClubPlayer;Top1;Top2;Top3;Top4;Top5
Abdukodir Khusanov;Manuel Akanji (72.64%);Dayot Upamecano (72.25%);Wesley Fofana (70.54%);Leny Yoro (69.95%);William Saliba (68.1%)
Antoine Semenyo;Vinicius Júnior (68.86%);Anthony Gordon (66.77%);Antoine Griezmann (64.29%);Pau Víctor (63.82%);Rafa Mir (63.74%)
Bernardo Silva;Nicolò Barella (70.07%);Warren Zaïre-Emery (69.17%);Martin Ødegaard (67.16%);Caleb Yirenkyi (66.8%);Matt O'Riley (66.35%)
Erling Haaland;Ivan Toney (66.0%);Vedat Muriqi (65.75%);Patrik Schick (65.06%);Ayase Ueda (64.63%);Ante Budimir (64.02%)
Gianluigi Donnarumma;Christian Walton (92.02%);Esteban Andrada (91.82%);Léo Kokubo (91.26%);Berke Özer (89.99%);Karlo Letica (88.55%)
John Stones;Luca Jaquez (70.37%);Robin Østrøm (66.85%);Ezri Konsa (65.09%);Lucas Høgsberg (64.62%);Raúl Asencio (62.76%)
Joško Gvardiol;Edmond Tapsoba (76.17%);Pedro Bigas (75.18%);Ramy Bensebaini (73.44%);Tyrone Mings (71.93%);Dean Huijsen (70.96%)
Jérémy Doku;Vinicius Júnior (84.21%);Matías Fernández (79.24%);Jan Virgili (78.65%);Aral Şimşir (75.15%);Daniel Maldini (74.18%)
Marc Guéhi;Nico Schlotterbeck (73.93%);Virgil van Dijk (73.77%);Edmond Tapsoba (73.73%);Marcos Alonso (70.02%);Jakub Kiwior (69.01%)
Matheus Nunes;Jules Koundé (89.21%);Ridle Baku (86.5%);Achraf Hakimi (84.73%);Malo Gusto (84.41%);Josip Stanišić (83.43%)
Max Alleyne;Jannik Vestergaard (61.4%);Dean Huijsen (58.58%);Óscar Rivas (52.67%);José Córdoba (51.13%);Lisandro Martínez (50.73%)
Nathan Aké;Pedro Bigas (67.59%);Gerard Martín (66.03%);Arthur Theate (61.63%);Luca Ranieri (61.32%);Alessandro Bastoni (61.12%)
Nico González;Hidemasa Morita (82.3%);Antonio Blanco (78.68%);Morten Hjulmand (77.73%);Aleix García (74.98%);Rasmus Falk Jensen (73.31%)
Nico O'Reilly;Khéphren Thuram (70.26%);Joelinton (70.01%);Kenneth Taylor (69.84%);Daichi Kamada (67.43%);Patrick Osterhage (66.07%)
Omar Marmoush;Daniel Maldini (70.85%);Matías Fernández (69.8%);Vinicius Júnior (65.21%);Ange Bonny (64.27%);Tyreece Campbell (61.61%)
Phil Foden;Bilal El Khannouss (79.06%);Hayden Hackney (78.53%);Kevin De Bruyne (77.37%);Dani Olmo (77.37%);Florian Wirtz (77.26%)
Rayan Aït-Nouri;Maxime Colin (83.99%);Joakim Mæhle (83.85%);Fabio Miretti (77.57%);Sofiane Boufal (74.97%);Nacho Vidal (74.3%)
Rayan Cherki;Hayden Hackney (80.59%);Florian Wirtz (79.32%);Martin Ødegaard (77.85%);Nicolò Barella (76.57%);Bilal El Khannouss (75.28%)
Rico Lewis;Achraf Hakimi (73.86%);Óscar Mingueza (73.48%);Ridle Baku (72.85%);João Cancelo (72.33%);Ignace Van der Brempt (71.81%)
Rodri;Vitinha (81.36%);Exequiel Palacios (81.15%);Aidan Morris (80.63%);Aleksandar Pavlović (80.43%);Manuel Locatelli (79.13%)
Rúben Dias;Ilya Zabarnyi (72.25%);Manuel Akanji (71.93%);Jonathan Tah (70.61%);William Saliba (70.41%);Ibrahima Konaté (69.24%)
Savinho;Kevin (82.27%);Nathan Tella (78.0%);Malcom (77.66%);Michael Olise (75.8%);Jonathan Rowe (74.34%)
Tijjani Reijnders;Serge Gnabry (77.93%);Florian Wirtz (77.07%);Dani Olmo (76.7%);Riley McGree (76.67%);Enzo Fernández (75.02%)
