ClubPlayer;Top1;Top2;Top3;Top4;Top5
Altay Bayındır;Lucas França (88.96%);Zafer Görgen (88.66%);Dávid Gróf (87.94%);Lorenzo Montipò (86.39%);Adrian Šemper (85.47%)
Amad Diallo;Nicolas Pépé (84.69%);Takefusa Kubo (83.75%);Patrick Roberts (81.04%);Tom Fellows (80.47%);Lennart Karl (79.86%)
Ayden Heaven;Jenson Seelt (65.19%);Filip Helander (59.95%);Loïc Badé (57.01%);Vitor Reis (56.92%);Carl Starfelt (56.63%)
Benjamin Šeško;Ferran Torres (62.2%);Willem Geubbels (60.98%);Haris Tabaković (58.94%);Alexander Sørloth (58.08%);Ahmadou Bamba Dieng (57.11%)
Bruno Fernandes;Enzo Fernández (75.21%);Kevin De Bruyne (74.24%);Hakan Çalhanoğlu (73.93%);Dani Olmo (73.33%);Kevin Stöger (72.87%)
Bryan Mbeumo;Jorge de Frutos (83.83%);Tatsuhiro Sakamoto (81.28%);Anthony Elanga (80.93%);Harvey Barnes (79.29%);Tobias Bech (78.81%)
Casemiro;Davy Klaassen (85.98%);Stijn Spierings (85.09%);Lucas Torreira (83.22%);Amadou Diawara (80.44%);Corentin Tolisso (79.6%)
Diogo Dalot;Timothy Weah (80.81%);Matheus Nunes (78.81%);Malo Gusto (74.58%);Ridle Baku (73.68%);Óscar Mingueza (73.2%)
Harry Maguire;Virgil van Dijk (60.29%);Gabriel Magalhães (57.46%);Maxence Lacroix (56.52%);Ibrahima Konaté (52.76%);Koni De Winter (51.74%)
Joshua Zirkzee;Keke Topp (63.83%);Mamadou Doumbia (62.74%);Kayembe, Edo (61.75%);Eddie Nketiah (61.28%);Daniel Maldini (60.63%)
Kobbie Mainoo;Marc Casadó (65.98%);Khéphren Thuram (64.12%);Manu Koné (63.8%);Ezequiel Fernández (63.34%);Aidan Morris (63.07%)
Leny Yoro;Sam Beukema (69.05%);Cristhian Mosquera (68.79%);Abdukodir Khusanov (68.69%);Javi Rodríguez (68.47%);Marc Pubill (67.21%)
Lisandro Martínez;Urie-Michel Mboula (74.71%);Facundo Medina (70.7%);Daley Blind (69.37%);Castello Lukeba (68.12%);Marcos Alonso (65.63%)
Luke Shaw;Ricardo Rodríguez (81.92%);Matt Targett (81.24%);Josep Chavarría (78.61%);Ben Chilwell (78.1%);Joris Kayembe (77.78%)
Manuel Ugarte;João Gomes (70.67%);Mikel Vesga (69.39%);Mamadou Sangare (69.11%);Nicolas Fonseca (68.7%);Guido Rodríguez (68.25%)
Mason Mount;Samuel Mbangula (71.27%);Abdessamad Ezzalzouli (70.73%);Rodrigo Riquelme (68.93%);Arturo González (68.26%);Hugo Álvarez (68.07%)
Matheus Cunha;Santi García (87.41%);Rafa Silva (80.7%);João Félix (79.27%);Francisco Trincão (78.87%);Peque Fernández (77.71%)
Matthijs de Ligt;Sepp van den Berg (65.4%);Maxence Lacroix (53.02%);Chris Mepham (52.84%);Federico Gatti (52.79%);Jakub Brabec (52.67%)
Noussair Mazraoui;Aaron Wan-Bissaka (76.25%);Lamare Bogarde (76.18%);Lazaros Rota (74.39%);Samir Sophian Chergui (74.0%);Timothy Castagne (73.91%)
Patrick Dorgu;Alex Calvo (75.76%);Nicolás González (74.16%);Sergio Rodelas (72.87%);Simon Adingra (71.33%);Abdessamad Ezzalzouli (70.69%)
Senne Lammens;Jacob Widell Zetterström (94.65%);Matz Sels (94.4%);Victor Wehbi Aznar (93.75%);Daniel Iversen (93.46%);Mailson (93.38%)
