ClubPlayer;Top1;Top2;Top3;Top4;Top5
Adrien Rabiot;Henrikh Mkhitaryan (70.72%);Kenneth Taylor (65.6%);Seko Fofana (65.49%);Wouter Burger (63.56%);Philip Billing (63.49%)
Alexis Saelemaekers;Giuliano Simeone (78.32%);Amad Diallo (77.6%);Oscar Bobb (75.62%);Ibrahim Mbaye (75.59%);Lamine Yamal (73.54%)
Christian Pulišić;Karim Benzema (86.0%);Julián Quiñones (80.5%);Pierre-Emerick Aubameyang (76.98%);Filip Bundgaard (76.05%);Joshua King (74.74%)
Christopher Nkunku;Pau Víctor (66.25%);Borja Mayoral (64.04%);Gonzalo García (63.84%);Patrik Schick (63.55%);Anastasios Douvikas (62.18%)
Davide Bartesaghi;Caio Henrique (74.28%);Gabriel Suazo (72.49%);Lorenzo Bernasconi (70.9%);Emerson Palmieri (70.57%);David Raum (69.97%)
Fikayo Tomori;Javi Rodríguez (69.29%);Wesley Fofana (67.91%);Pierre Kalulu (67.39%);Manuel Akanji (67.09%);George Tanner (66.98%)
Koni De Winter;William Saliba (72.34%);Amir Rrahmani (67.87%);Antonio Rüdiger (66.0%);Jonathan Tah (62.44%);Kim Min-jae (60.9%)
Luka Modrić;Aleksandar Pavlović (78.19%);Joshua Kimmich (77.59%);Koke (76.54%);Vitinha (76.01%);Piotr Zieliński (75.21%)
Matteo Gabbia;Stipe Radić (83.47%);Wesley Hoedt (82.78%);Henrik Dalsgaard (82.23%);Aïssa Mandi (81.18%);Nick Viergever (81.08%)
Mike Maignan;Lazar Carević (94.96%);Hervé Koffi (94.54%);Robin Risser (94.39%);Kevin Trapp (93.63%);Alexander Nübel (93.29%)
Niclas Füllkrug;Duván Zapata (57.49%);Armando Broja (54.57%);Jordan Siebatcheu (53.42%);Ayoub El Kaabi (52.38%);Chris Wood (51.87%)
Pervis Estupiñán;Kieran Dowell (69.95%);Birger Meling (68.18%);Lorenz Assignon (67.24%);Hassane Kamara (66.81%);Abner Vinícius (65.21%)
Rafael Leão;Matías Fernández (74.74%);Kylian Mbappé (72.79%);Vinicius Júnior (70.99%);Lautaro Martínez (68.52%);Anthony Gordon (68.18%)
Ruben Loftus-Cheek;Leandro Barreiro (76.24%);Georginio Wijnaldum (74.16%);Spadanuda, Kevin (72.4%);Josh Brownhill (71.54%);Emiliano Marcondes (71.43%)
Samuele Ricci;Mattéo Guendouzi (58.64%);Jakob Breum (58.11%);Assan Ouédraogo (57.67%);Federico Valverde (56.39%);Warren Zaïre-Emery (55.33%)
Santiago Giménez;Romero, Isaac (55.87%);Yousef Al-Shammari (52.17%);Fahad Zubaidi (52.11%);Eduardo Aguirre (49.78%);Chuba Akpom (49.57%)
Strahinja Pavlović;Calvin Bassey (73.0%);Ramy Bensebaini (71.92%);Luca Ranieri (70.45%);Dávid Hancko (69.95%);Joško Gvardiol (69.71%)
Youssouf Fofana;Michel Adopo (63.76%);Finn Azaz (63.05%);Brajan Gruda (61.62%);Julio Enciso (61.59%);Jakub Piotrowski (61.52%)
Zachary Athekame;Przemysław Frankowski (70.78%);Diogo Travassos (69.32%);Roger Fernandes (67.78%);Denzel Dumfries (66.95%);Lilian Raolisoa (66.93%)
