ClubPlayer;Top1;Top2;Top3;Top4;Top5
Aaron Ramsdale;Yehvann Diouf (93.54%);Kamil Grabara (92.91%);Julen Agirrezabala (92.84%);Guglielmo Vicario (92.12%);Mattias Lamhauge (92.08%)
Anthony Elanga;Tyrhys Dolan (85.45%);Iñaki Williams (81.92%);Bryan Mbeumo (80.17%);Jofre Carreras (79.4%);Dan Ndoye (79.25%)
Anthony Gordon;Vinicius Júnior (80.43%);Matías Fernández (79.68%);Jérémy Doku (73.86%);Claudio Echeverri (71.18%);Rafael Leão (69.3%)
Bruno Guimarães;Enzo Fernández (75.46%);Dani Olmo (71.76%);Kevin De Bruyne (68.31%);Florian Wirtz (66.01%);Bilal El Khannouss (64.89%)
Dan Burn;Andrew Hughes (67.49%);Diogo Leite (66.47%);Ciaron Brown (65.42%);Brayan Medina (64.67%);Marcos Senesi (63.5%)
Fabian Schär;Denis Vavro (71.59%);Florian Lejeune (68.11%);Adrián de la Fuente (62.86%);Luka Vušković (58.05%);Lewis Dunk (55.46%)
Harvey Barnes;Gabriel Martinelli (85.07%);Cody Gakpo (84.91%);Said El Mala (84.68%);Maximilian Beier (83.01%);Martial Godo (79.34%)
Jacob Murphy;Gonçalo Guedes (79.39%);Million Manhoef (77.33%);David Neres (76.87%);Mohamed Salah (76.86%);Harry Wilson (76.57%)
Jacob Ramsey;Emile Smith Rowe (67.4%);Alberto Reina (63.86%);Thiago Almada (62.79%);Kenneth Taylor (61.79%);Aleix Febas (59.74%)
Joe Willock;Yuito Suzuki (69.26%);Lucas Bergvall (68.63%);Mohamed Nassoh (68.47%);Callum Lang (67.73%);Jon Guruzeta (66.82%)
Joelinton;Nico O'Reilly (69.16%);Cher Ndour (66.86%);Mathias De Amorim (63.18%);Aimar Oroz (62.46%);Emile Smith Rowe (62.3%)
Kieran Trippier;Ludwig Augustinsson (80.76%);Hugo Siquet (78.78%);Mats Köhlert (76.69%);Thomas Meunier (75.9%);Peter Ankersen (74.27%)
Lewis Hall;Emerson Palmieri (83.44%);Quentin Merlin (82.33%);Marcos López (81.62%);Sergio Gómez (80.72%);Callum Styles (80.34%)
Lewis Miley;Jules Koundé (76.48%);Matheus Nunes (74.83%);Mats Wieffer (74.01%);Josip Stanišić (73.96%);Malo Gusto (72.82%)
Malick Thiaw;Jacobo Ramón (70.59%);Leo Østigård (70.33%);Nikola Milenković (69.89%);Willi Orbán (67.61%);Ibrahima Konaté (66.83%)
Nick Pope;Jon Mikel Magunagoitia (85.33%);Solomon Brynn (84.61%);Jan Oblak (84.6%);Marcus Bundgaard Sorensen (84.17%);Dominik Greif (83.16%)
Nick Woltemade;Marshall Munetsi (74.5%);Pablo Felipe (74.38%);Eldor Shomurodov (74.35%);Yuito Suzuki (74.1%);Eli Junior Kroupi (74.06%)
Sandro Tonali;Declan Rice (71.45%);Reece James (70.4%);Lamine Camara (68.92%);Nicolò Fagioli (67.83%);Tyler Morton (67.61%)
Sven Botman;Soumaila Coulibaly (62.44%);Rúben Dias (55.99%);Aymeric Laporte (55.61%);Sepp van den Berg (55.1%);Rasmus Nicolaisen (54.51%)
Tino Livramento;Omar El Hilali (71.54%);Lamare Bogarde (71.36%);Jayden Meghoma (70.01%);Iván Balliu (69.53%);Sebastian Walukiewicz (69.38%)
William Osula;Cameron Archer (48.75%);Arnaud Kalimuendo (47.02%);Vladyslav Vanat (46.28%);Francesco Camarda (45.77%);Kyogo Furuhashi (45.54%)
Yoane Wissa;Cédric Bakambu (55.23%);Francesco Camarda (49.35%);Patrik Schick (49.1%);Lukas Nmecha (48.7%);Marko Arnautović (48.59%)
