ClubPlayer;Top1;Top2;Top3;Top4;Top5
Achraf Hakimi;Matheus Nunes (83.81%);Konrad Laimer (83.33%);Jules Koundé (83.01%);Malo Gusto (82.97%);Ridle Baku (80.84%)
Bradley Barcola;Luis Díaz (85.25%);Wesley Saïd (83.26%);Ademola Lookman (81.06%);Maghnes Akliouche (79.89%);Kristian Arnstad (79.7%)
Dro Fernández;Magomed Ozdoev (64.57%);Dia, Boulaye (64.05%);Angelo Fulgini (60.57%);Justin Kluivert (60.11%);Yunus Musah (59.85%)
Désiré Doué;Lamine Yamal (81.54%);Kristian Arnstad (81.25%);Khvicha Kvaratskhelia (80.68%);Salem Al-Dawsari (80.22%);Raphinha (79.9%)
Fabián Ruiz;Aleix García (80.29%);João Moutinho (77.03%);Damián Rodríguez (76.46%);Giorgi Kochorashvili (75.77%);Aleksandar Pavlović (72.84%)
Gonçalo Ramos;Lautaro Martínez (71.13%);Pau Víctor (68.68%);Rafael Leão (67.25%);André Silva (64.45%);Rafa Mir (63.23%)
Ibrahim Mbaye;Lennart Karl (86.42%);Ibrahim Maza (83.52%);Roony Bardghji (83.48%);Franco Mastantuono (80.7%);Amad Diallo (80.48%)
Ilya Zabarnyi;William Saliba (74.31%);Rúben Dias (72.09%);Gustaf Lagerbielke (69.52%);Robin Østrøm (68.22%);Dayot Upamecano (67.92%)
João Neves;Warren Zaïre-Emery (71.85%);Frenkie de Jong (68.62%);Aleksandar Pavlović (68.33%);Vitinha (67.61%);Moisés Caicedo (65.66%)
Kang-in Lee;Arda Güler (75.59%);Christopher Baah (73.85%);Steven Berghuis (73.67%);Mohammed Abu Al-Shamat (73.6%);Leroy Sané (72.5%)
Khvicha Kvaratskhelia;Kenan Yıldız (87.5%);Luis Díaz (84.26%);Oscar Gloukh (83.44%);Can Uzun (82.92%);Lamine Yamal (82.36%)
Lucas Beraldo;Kim Min-jae (75.52%);Nayef Aguerd (75.36%);Jonathan Tah (75.1%);Trevoh Chalobah (74.99%);Jan Bednarek (74.77%)
Lucas Chevalier;Péter Gulácsi (92.89%);Robin Risser (92.72%);Diogo Costa (92.5%);Philipp Köhn (92.05%);Lazar Carević (91.61%)
Lucas Hernández;Mathías Olivera (86.35%);Thomas Meunier (85.42%);Jeremy Mellot (84.32%);Peter Ankersen (83.81%);Sean Klaiber (83.58%)
Marquinhos;Carl Starfelt (65.15%);Manuel Akanji (64.45%);Dayot Upamecano (63.92%);Clinton Mata (63.76%);Sam Beukema (63.44%)
Matvey Safonov;Jean Butez (92.87%);Joan García (92.03%);Lukáš Horníček (91.28%);Wojciech Szczęsny (91.27%);Diogo Costa (90.56%)
Nuno Mendes;Alejandro Grimaldo (88.5%);Maximilian Mittelstädt (82.6%);João Cancelo (81.01%);Ian Maatsen (78.77%);Lewis Hall (77.32%)
Ousmane Dembélé;Mason Greenwood (84.76%);Rodrigo Zalazar (77.83%);Malcom (76.77%);Cengiz Ünder (76.71%);Tjaronn Chery (75.84%)
Senny Mayulu;Fermín López (79.48%);Noah Nartey (73.64%);Rayan Cherki (73.43%);Serge Gnabry (72.54%);Florian Wirtz (69.98%)
Vitinha;Aleksandar Pavlović (84.82%);Koke (84.07%);Rodri (81.21%);Aleix García (80.54%);Joshua Kimmich (79.37%)
Warren Zaïre-Emery;Federico Valverde (74.42%);Marc Casadó (72.08%);João Neves (71.56%);Bernardo Silva (70.57%);Jean-Baptiste Gorby (70.42%)
Willian Pacho;Pau Cubarsí (76.54%);Trevoh Chalobah (73.08%);Lucas Beraldo (72.16%);Nayef Aguerd (70.61%);Alessio Romagnoli (67.68%)
