ClubPlayer;Top1;Top2;Top3;Top4;Top5
Alan Varela;Ryan Gravenberch (69.1%);Martín Zubimendi (67.71%);Andre Dozzell (66.48%);Aurélien Tchouaméni (65.65%);Enzo Barrenechea (65.61%)
Alberto Costa;Wagner Pina (83.41%);Iván Fresneda (73.83%);Yan Valery (73.47%);Shurandy Sambo (72.56%);Nawaf Boushal (72.09%)
Borja Sainz;Jaden Philogene-Bidace (79.42%);Ademola Lookman (78.2%);Martial Godo (78.08%);Rodrigo Riquelme (77.87%);Leandro Trossard (77.77%)
Deniz Gül;Damienus Reverson (61.57%);Mika Biereth (58.85%);Viktor Gyökeres (57.04%);Daniel Jebbison (55.3%);Artem Dovbyk (53.54%)
Diogo Costa;Lukáš Horníček (95.43%);Alisson (95.4%);Jesper Hansen (94.73%);Péter Gulácsi (94.37%);Lucas Lund (94.14%)
Francisco Moura;Piero Hincapié (77.61%);Andrea Cambiaso (74.0%);Michal Gurgul (70.75%);Son (70.08%);Morgan Poaty (67.32%)
Gabri Veiga;João Carvalho (76.62%);João Félix (75.93%);Tozé (73.36%);Qazim Laci (72.54%);Francisco Trincão (71.61%)
Jakub Kiwior;Gerard Martín (80.16%);Marcos Alonso (72.48%);Edmond Tapsoba (71.03%);Nayef Aguerd (70.69%);Eric Kahl (70.17%)
Jan Bednarek;William Saliba (77.1%);Pau Cubarsí (77.04%);Manuel Akanji (75.89%);Kim Min-jae (75.01%);Frederik Alves (74.88%)
Martim Fernandes;Festy Ebosele (72.57%);Kenny Tete (71.22%);Bart van Rooij (69.82%);Mohammed Mahzari (69.76%);José Ángel Carmona (68.74%)
Oskar Pietuszewski;Ephron Mason-Clark (84.24%);Noah Saviolo (81.09%);Figueiredo (80.75%);Malick Fofana (80.43%);Makan Aïko (80.15%)
Pablo Rosario;Martín Zubimendi (78.97%);Bryan Cristante (71.72%);Leon Goretzka (70.68%);Aurélien Tchouaméni (69.43%);Azor Matusiwa (68.91%)
Pepê;Bukayo Saka (79.55%);Omari Hutchinson (77.18%);Mohamed Salah (76.36%);Ritsu Doan (76.05%);Charles De Ketelaere (75.79%)
Rodrigo Mora;Anis Mehmeti (82.45%);Jakub Kamiński (77.4%);Julio Enciso (76.79%);Alfie Devine (75.02%);Scott Twine (73.82%)
Samu Aghehowa;Luis Javier Suárez (70.87%);Omar Al Soma (65.74%);Cristiano Ronaldo (65.08%);Mohamed Touré (64.38%);Damienus Reverson (61.25%)
Seko Fofana;Henrikh Mkhitaryan (70.92%);Azzedine Ounahi (64.55%);Riley McGree (64.23%);Adrien Rabiot (63.95%);Nicklas Røjkjær (62.15%)
Terem Moffi;Tani Oluwaseyi (66.84%);Antonio Čolak (58.05%);Andrea Pinamonti (55.42%);Jonathan David (55.15%);Antonio Sanabria (54.39%)
Victor Froholdt;Denil Castillo (66.47%);Giovanni Fabbian (66.24%);Senny Mayulu (64.9%);Pablo Marín (63.07%);Frank Anguissa (62.95%)
William Gomes;Million Manhoef (85.11%);Karim Adeyemi (82.15%);Sindre Walle Egeli (81.43%);Largie Ramazani (80.58%);Estêvão (79.32%)
Zaidu Sanusi;Kai Wagner (85.34%);Kevin Medina (76.76%);Raúl Moro (70.46%);Johan Mojica (69.25%);Josh Doig (66.61%)
