ClubPlayer;Top1;Top2;Top3;Top4;Top5
Antonio Rüdiger;Dante (68.16%);Koni De Winter (67.65%);William Saliba (66.14%);Joseph Aidoo (65.39%);Kim Min-jae (65.01%)
Arda Güler;Efrain Alvarez (80.12%);Federico Dimarco (79.25%);Ilan Kebbal (77.7%);Roony Bardghji (77.58%);Chris Führich (77.54%)
Aurélien Tchouaméni;Moisés Caicedo (81.53%);Leon Goretzka (81.01%);Enzo Barrenechea (80.63%);Martín Zubimendi (78.26%);Manuel Locatelli (78.01%)
Brahim Díaz;Ibrahim Mbaye (75.96%);Amad Diallo (75.66%);Roony Bardghji (72.39%);Khvicha Kvaratskhelia (72.18%);Lennart Karl (71.47%)
Dani Carvajal;Dimitri Foulquier (71.97%);Arnau Martínez (70.82%);Iván Balliu (70.15%);Ridle Baku (69.66%);Hamari Traoré (69.23%)
Dani Ceballos;Aidan Morris (69.44%);Dani Parejo (68.61%);Manuel Locatelli (68.34%);Enzo Barrenechea (68.26%);Harry Winks (68.23%)
Dean Huijsen;Virgil van Dijk (71.5%);Brandon Mechele (70.63%);Edmond Tapsoba (69.92%);Joško Gvardiol (69.77%);Robin Pröpper (69.14%)
Eduardo Camavinga;Samir El Mourabet (76.17%);Manuel Locatelli (74.8%);Enzo Barrenechea (73.7%);Moisés Caicedo (72.55%);Sergi Altimira (71.9%)
Federico Valverde;Reece James (76.21%);Ryan Gravenberch (75.65%);Warren Zaïre-Emery (75.54%);Marcos Llorente (74.34%);Pablo Barrios (71.95%)
Fran García;Miloš Kerkez (73.15%);Juho Lähteenmäki (72.07%);Josep Chavarría (71.57%);Daniel Svensson (69.32%);Destiny Udogie (68.85%)
Franco Mastantuono;Lennart Karl (81.56%);Ibrahim Mbaye (80.1%);Roony Bardghji (79.32%);Lamine Yamal (78.98%);Nicolas Pépé (78.9%)
Gonzalo García;Guus Til (64.5%);Pau Víctor (63.97%);Danny Welbeck (63.74%);Fran Navarro (63.45%);Patrik Schick (62.83%)
Jude Bellingham;Malik Tillman (76.3%);Ibrahim Mbaye (75.11%);Luis Díaz (74.8%);Bradley Barcola (74.15%);Cole Palmer (73.51%)
Kylian Mbappé;Rafael Leão (74.31%);Lautaro Martínez (68.06%);Matías Fernández (66.94%);Julián Alvarez (66.57%);Georges Mikautadze (65.03%)
Raúl Asencio;Robert Andrich (78.16%);Manuel Akanji (72.54%);Ezri Konsa (69.54%);Kim Min-jae (69.07%);Ronald Araújo (68.61%)
Rodrygo;Xavi Simons (74.98%);Tyrhys Dolan (72.21%);Luis Díaz (72.2%);Désiré Doué (71.82%);Bryan Zaragoza (71.0%)
Thibaut Courtois;Alexander Nübel (91.84%);Anthony Moris (89.74%);Kjell Scherpen (89.38%);Ivan Provedel (88.95%);Alisson (88.88%)
Trent Alexander-Arnold;Jonathan Clauss (80.15%);Matty Cash (77.43%);Pedro Porro (75.04%);Jules Koundé (72.39%);Julian Ryerson (71.79%)
Vinicius Júnior;Jérémy Doku (84.12%);Matías Fernández (82.85%);Anthony Gordon (79.8%);Rafael Leão (71.11%);Aral Şimşir (70.08%)
Álvaro Carreras;Miloš Kerkez (84.7%);Josep Chavarría (80.87%);Samuel Dahl (79.68%);Matt Targett (79.19%);Jay DaSilva (77.84%)
Éder Militão;Yann Bisseck (70.43%);Manuel Akanji (65.56%);Eric García (63.38%);Stefan de Vrij (62.25%);Joško Gvardiol (62.19%)
