ClubPlayer;Top1;Top2;Top3;Top4;Top5
Eduardo Quaresma;Hassan Kadesh (69.2%);Gonçalo Inácio (68.17%);Hassan Altambakti (65.36%);Diego Campillo (64.06%);Jehad Thakri (63.93%)
Fotis Ioannidis;El Bilal Touré (64.26%);Silvère Ganvoula (58.78%);Sekou Koita (52.6%);Adrian Grbić (52.15%);Assad Al-Hamlawi (52.12%)
Francisco Trincão;Marco Asensio (87.65%);João Félix (86.0%);Matheus Cunha (78.28%);Georgiy Sudakov (78.26%);Rafa Silva (76.11%)
Geny Catamo;Geovany Quenda (81.71%);Pedro Gonçalves (78.67%);Christopher Baah (78.59%);Yunus Akgün (76.28%);Khalid Al-Ghannam (75.9%)
Georgios Vagiannidis;Iván Fresneda (76.54%);Moteb Al-Harbi (75.49%);Nawaf Boushal (74.29%);Fredrik André Bjørkan (72.96%);Victor Gómez (72.43%)
Geovany Quenda;Christopher Baah (84.51%);Mohammed Al-Kuwaykibi (82.81%);Geny Catamo (81.82%);Pedro Gonçalves (79.46%);Francisco Conceição (78.5%)
Giorgi Kochorashvili;Fabián Ruiz (75.57%);Hidemasa Morita (74.64%);Óliver Torres (74.05%);Kartal Kayra Yılmaz (71.79%);Aleix García (71.13%)
Gonçalo Inácio;Zeno Debast (78.76%);Arseniy Batagov (78.4%);Ousmane Diomande (69.56%);Eduardo Quaresma (69.28%);Hassan Kadesh (68.55%)
Hidemasa Morita;Abdullah Al-Khaibari (82.55%);Nico González (81.32%);Rasmus Falk Jensen (76.56%);Giorgi Kochorashvili (75.49%);Nasser Al-Dawsari (74.88%)
Iván Fresneda;Yasser Al-Shahrani (79.14%);Victor Gómez (78.32%);Wagner Pina (77.75%);Moteb Al-Harbi (77.68%);Youssef Enriquez (77.67%)
João Simões;Rodrigo Alonso (70.54%);Abdullah Al-Khaibari (67.77%);Ziyad Aljohani (65.65%);Denis Suárez (65.27%);Pablo Ibáñez (65.08%)
Luis Guilherme;Jadon Sancho (64.9%);Momodou Sonko (62.84%);José Luis Rodríguez (62.18%);Osame Sahraoui (62.05%);Wilson Odobert (61.66%)
Luis Javier Suárez;Cristiano Ronaldo (78.97%);Hyeon-gyu Oh (74.54%);Samu Aghehowa (71.68%);Adam Armstrong (68.28%);Nicolò Tresoldi (66.83%)
Matheus Reis;Alonso Aceves (82.74%);Joris Kayembe (79.67%);Sead Kolašinac (78.79%);Juanjo Nieto (77.71%);Fredrik André Bjørkan (76.97%)
Maximiliano Araújo;Pacha (76.08%);Neto Borges (72.35%);Ricard Sánchez (71.64%);Matisse Samoise (71.11%);Roland Sallai (70.28%)
Morten Hjulmand;Nico González (76.32%);Raphael Onyedika (73.49%);Hidemasa Morita (71.67%);Rasmus Falk Jensen (71.62%);Beni Mukendi (71.37%)
Ousmane Diomande;Zeno Debast (79.4%);Nacho Fernández (78.56%);Pablo Marí (76.61%);Saad Al-Mousa (72.61%);Diego Carlos (70.8%)
Pedro Gonçalves;Kingsley Coman (84.18%);Khalid Al-Ghannam (83.63%);Mika Godts (83.22%);Yunus Akgün (82.68%);Taofeek Ismaheel (82.6%)
Ricardo Mangas;Geovany Quenda (71.65%);Ahmed Al-Ghamdi (71.47%);Ivan Cavaleiro (70.89%);Saleh Al-Amri (70.22%);Christopher Baah (69.7%)
Rui Silva;Bono (93.85%);David De Gea (93.23%);Mohammed Al-Yami (92.9%);Ander Cantero (92.76%);Andrés Fernández (91.13%)
Souleymane Faye;Julen Lobete (81.48%);Salim El Jebari (72.53%);Diego Collado (72.29%);Denis Drăguş (71.93%);Min-su Kim (71.55%)
Zeno Debast;Gonçalo Inácio (77.93%);Ousmane Diomande (77.69%);Bernardo Vital (72.57%);Nacho Fernández (67.66%);Pablo Ramón (67.33%)
